series_name,episode_name,series_episode,season,season_episode,url,user_rating,user_votes,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
Please Like Me,Rhubarb and Custard,1,1,1,http://www.imdb.com/title/tt2157811/?ref_=ttep_ep1,7.8,274,0.010948905109489052,0.0072992700729927005,0,0.025547445255474453,0.025547445255474453,0.09124087591240876,0.23722627737226276,0.24452554744525548,0.11313868613138686,0.24452554744525548
Please Like Me,French Toast,2,1,2,http://www.imdb.com/title/tt2157813/?ref_=ttep_ep2,8.1,236,0.012711864406779662,0.00847457627118644,0.00423728813559322,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.18220338983050846,0.326271186440678,0.11440677966101695,0.2669491525423729
Please Like Me,Portuguese Custard Tarts,3,1,3,http://www.imdb.com/title/tt2157815/?ref_=ttep_ep3,8.5,226,0.004424778761061947,0.008849557522123894,0.004424778761061947,0.004424778761061947,0,0.048672566371681415,0.09734513274336283,0.28761061946902655,0.21238938053097345,0.33185840707964603
Please Like Me,All You Can Eat,4,1,4,http://www.imdb.com/title/tt2157817/?ref_=ttep_ep4,8.2,210,0.014285714285714285,0.004761904761904762,0,0.004761904761904762,0.023809523809523808,0.0380952380952381,0.18095238095238095,0.3047619047619048,0.1380952380952381,0.2904761904761905
Please Like Me,Spanish Eggs,5,1,5,http://www.imdb.com/title/tt2157819/?ref_=ttep_ep5,8.4,206,0.0048543689320388345,0.009708737864077669,0,0.009708737864077669,0.0048543689320388345,0.043689320388349516,0.12135922330097088,0.30097087378640774,0.20388349514563106,0.30097087378640774
Please Like Me,Horrible Sandwiches,6,1,6,http://www.imdb.com/title/tt2157821/?ref_=ttep_ep6,8.5,214,0.009345794392523364,0.009345794392523364,0.004672897196261682,0.004672897196261682,0.014018691588785047,0.037383177570093455,0.09345794392523364,0.2850467289719626,0.18691588785046728,0.35514018691588783
Please Like Me,Milk,7,2,1,http://www.imdb.com/title/tt3343168/?ref_=ttep_ep1,8.2,210,0.01904761904761905,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.009523809523809525,0.07142857142857142,0.14761904761904762,0.2904761904761905,0.1380952380952381,0.30952380952380953
Please Like Me,Ham,8,2,2,http://www.imdb.com/title/tt3343164/?ref_=ttep_ep2,8.4,194,0.020618556701030927,0,0,0.005154639175257732,0.010309278350515464,0.04639175257731959,0.12886597938144329,0.26288659793814434,0.1958762886597938,0.32989690721649484
Please Like Me,Parmigiana,9,2,3,http://www.imdb.com/title/tt3343172/?ref_=ttep_ep3,8.6,192,0.010416666666666666,0,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.09895833333333333,0.2552083333333333,0.19791666666666666,0.390625
Please Like Me,Gang Keow Wan,10,2,4,http://www.imdb.com/title/tt3343170/?ref_=ttep_ep4,8.6,188,0.015957446808510637,0,0,0.010638297872340425,0.005319148936170213,0.031914893617021274,0.1276595744680851,0.22872340425531915,0.22872340425531915,0.35106382978723405
Please Like Me,Sausage Sizzle,11,2,5,http://www.imdb.com/title/tt3343166/?ref_=ttep_ep5,8.8,193,0.0051813471502590676,0.010362694300518135,0,0.010362694300518135,0.0051813471502590676,0.02072538860103627,0.08808290155440414,0.19689119170984457,0.20207253886010362,0.46113989637305697
Please Like Me,Lapin a La Cocotte,12,2,6,http://www.imdb.com/title/tt3343176/?ref_=ttep_ep6,8.7,186,0.010752688172043012,0,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.10752688172043011,0.1827956989247312,0.26344086021505375,0.3978494623655914
Please Like Me,Scroggin,13,2,7,http://www.imdb.com/title/tt3343178/?ref_=ttep_ep7,9.2,299,0.016722408026755852,0.0033444816053511705,0.0033444816053511705,0.006688963210702341,0,0.013377926421404682,0.04013377926421405,0.10033444816053512,0.18394648829431437,0.6321070234113713
Please Like Me,Truffled Mac and Cheese,14,2,8,http://www.imdb.com/title/tt3343174/?ref_=ttep_ep8,8.7,183,0.01092896174863388,0,0.00546448087431694,0.01092896174863388,0.02185792349726776,0.02185792349726776,0.08743169398907104,0.20765027322404372,0.22404371584699453,0.4098360655737705
Please Like Me,Skinny Latte,15,2,9,http://www.imdb.com/title/tt3343182/?ref_=ttep_ep9,8.8,170,0.011764705882352941,0.0058823529411764705,0,0.011764705882352941,0.01764705882352941,0.01764705882352941,0.07647058823529412,0.20588235294117646,0.2411764705882353,0.4117647058823529
Please Like Me,Margherita,16,2,10,http://www.imdb.com/title/tt3343180/?ref_=ttep_ep10,8.8,178,0.016853932584269662,0.0056179775280898875,0,0.0056179775280898875,0.011235955056179775,0.033707865168539325,0.06741573033707865,0.16853932584269662,0.2696629213483146,0.42134831460674155
Please Like Me,Eggplant,17,3,1,http://www.imdb.com/title/tt3963452/?ref_=ttep_ep1,9.1,233,0.017167381974248927,0.008583690987124463,0.004291845493562232,0.008583690987124463,0,0.017167381974248927,0.04291845493562232,0.13304721030042918,0.2532188841201717,0.5150214592274678
Please Like Me,Simple Carbohydrates,18,3,2,http://www.imdb.com/title/tt4194930/?ref_=ttep_ep2,9.2,228,0.013157894736842105,0,0,0.008771929824561403,0,0.0043859649122807015,0.05701754385964912,0.10964912280701754,0.25,0.5570175438596491
Please Like Me,Croquembouche,19,3,3,http://www.imdb.com/title/tt4194940/?ref_=ttep_ep3,9,192,0.010416666666666666,0,0,0.005208333333333333,0,0.005208333333333333,0.07291666666666667,0.16666666666666666,0.3072916666666667,0.4322916666666667
