series_name,episode_name,series_episode,season,season_episode,url,user_rating,user_votes,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
The Umbrella Academy,We Only See Each Other at Weddings and Funerals,1,1,1,http://www.imdb.com/title/tt7614682/?ref_=ttep_ep1,8,2012,0.015904572564612324,0.0064612326043737576,0.0054671968190854875,0.01143141153081511,0.02186878727634195,0.0636182902584493,0.15308151093439365,0.33001988071570576,0.19980119284294234,0.19234592445328033
The Umbrella Academy,Run Boy Run,2,1,2,http://www.imdb.com/title/tt8201290/?ref_=ttep_ep2,8,1604,0.018703241895261846,0.006234413965087282,0.004987531172069825,0.008728179551122194,0.025561097256857856,0.059850374064837904,0.16022443890274315,0.34413965087281795,0.1770573566084788,0.19451371571072318
The Umbrella Academy,Extra Ordinary,3,1,3,http://www.imdb.com/title/tt8201304/?ref_=ttep_ep3,8.1,1451,0.022053756030323914,0.0055134390075809786,0.009648518263266712,0.007580978635423846,0.018607856650585803,0.06202618883528601,0.1357684355616816,0.3301171605789111,0.1943487250172295,0.21433494141971055
The Umbrella Academy,Man on the Moon,4,1,4,http://www.imdb.com/title/tt8334654/?ref_=ttep_ep4,8.3,1364,0.020527859237536656,0.0036656891495601175,0.005865102639296188,0.009530791788856305,0.022727272727272728,0.039589442815249266,0.13196480938416422,0.29765395894428154,0.23093841642228738,0.2375366568914956
The Umbrella Academy,Number Five,5,1,5,http://www.imdb.com/title/tt8334672/?ref_=ttep_ep5,8.5,1322,0.019667170953101363,0.00529500756429652,0.00529500756429652,0.00680786686838124,0.018910741301059002,0.03328290468986384,0.10287443267776097,0.24962178517397882,0.28517397881996975,0.273071104387292
The Umbrella Academy,The Day That Wasn't,6,1,6,http://www.imdb.com/title/tt8366066/?ref_=ttep_ep6,8.6,1299,0.023094688221709007,0.005388760585065435,0.007698229407236336,0.006928406466512702,0.01770592763664357,0.02848344880677444,0.08468052347959969,0.19322555812163203,0.28560431100846806,0.34719014626635875
The Umbrella Academy,The Day That Was,7,1,7,http://www.imdb.com/title/tt8366110/?ref_=ttep_ep7,8.5,1183,0.02282333051563821,0.00507185122569738,0.0016906170752324597,0.005917159763313609,0.011834319526627219,0.0338123415046492,0.10819949281487742,0.2180896027049873,0.28233305156382077,0.31022823330515636
The Umbrella Academy,I Heard a Rumor,8,1,8,http://www.imdb.com/title/tt8407436/?ref_=ttep_ep8,8.8,1266,0.02527646129541864,0.0071090047393364926,0.00631911532385466,0.007898894154818325,0.011848341232227487,0.02527646129541864,0.07977883096366509,0.1674565560821485,0.2812006319115324,0.38783570300157977
The Umbrella Academy,Changes,9,1,9,http://www.imdb.com/title/tt8407440/?ref_=ttep_ep9,8.7,1186,0.023608768971332208,0.010961214165261383,0.00505902192242833,0.00505902192242833,0.01770657672849916,0.026138279932546374,0.07166947723440135,0.17959527824620575,0.290893760539629,0.36930860033726814
The Umbrella Academy,The White Violin,10,1,10,http://www.imdb.com/title/tt8270858/?ref_=ttep_ep10,9,1444,0.028393351800554016,0.01038781163434903,0.008310249307479225,0.006925207756232687,0.009002770083102494,0.027008310249307478,0.06024930747922438,0.11703601108033242,0.22091412742382271,0.5117728531855956
