game_id,game_duration,winner,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,rift_herald_kill,t1_tower_kills,t1_inhibitor_kills,t1_baron_kills,t1_dragon_kills,t2_tower_kills,t2_inhibitor_kills,t2_baron_kills,t2_dragon_kills
733,2226,2,2,1,0,0,1,0,3,0,0,1,4,0,0,2
734,1902,1,1,2,1,1,1,2,7,1,1,3,3,0,0,0
735,1788,2,1,1,2,0,1,1,4,0,0,1,7,1,0,3
736,2503,1,2,2,1,1,1,0,11,4,1,3,6,0,0,2
737,1455,2,2,2,2,0,2,1,1,0,0,0,10,2,0,3
738,1986,2,2,2,2,1,1,2,4,0,1,3,9,3,0,0
739,1254,1,2,1,1,0,1,1,8,1,0,1,0,0,0,0
740,1682,1,2,1,1,0,1,0,10,2,0,3,1,0,0,0
741,1811,1,2,1,1,2,2,1,9,1,0,1,2,0,1,1
742,1717,2,1,2,2,2,2,2,1,0,0,0,10,2,1,3
743,1751,2,2,2,2,2,2,2,1,0,0,0,11,2,1,2
744,1349,2,2,2,2,2,2,2,0,0,0,0,9,1,1,2
745,2357,1,1,1,1,0,1,0,11,4,0,3,1,0,0,2
746,2088,2,1,2,2,0,1,0,3,0,0,1,8,1,0,1
747,2289,1,1,1,1,1,1,0,8,1,1,2,3,0,0,0
748,2110,1,1,1,1,1,2,1,10,2,1,3,2,0,0,1
749,1597,1,2,1,1,1,1,2,9,2,1,1,5,0,0,2
750,1833,2,2,1,2,2,2,1,3,0,0,0,8,2,1,2
751,2975,2,1,1,1,2,1,1,8,2,1,4,9,2,1,1
752,1275,1,1,1,0,0,1,0,8,0,0,1,0,0,0,0
753,1783,1,2,1,1,1,1,0,10,2,1,3,1,0,0,0
754,2514,2,1,1,1,1,1,0,9,2,1,2,7,1,1,1
755,1871,1,1,1,1,1,2,0,11,3,1,1,2,0,0,2
756,1998,1,1,1,1,0,1,0,11,3,0,2,1,0,0,0
757,2730,1,2,2,2,2,2,0,8,1,1,2,5,1,1,2
758,2326,2,2,1,2,2,1,0,3,0,0,1,11,3,1,2
759,1636,2,2,2,2,0,2,1,3,0,0,0,11,4,0,3
760,1747,2,1,1,2,2,2,0,3,0,0,0,11,3,1,2
761,1846,1,2,1,1,0,1,1,10,2,0,3,0,0,0,0
762,1605,1,1,1,1,0,1,1,10,2,0,3,0,0,0,0
763,2236,1,1,2,1,2,1,0,10,2,1,4,1,0,1,0
764,2258,1,2,2,1,1,1,0,9,2,1,4,7,2,0,0
765,1689,2,2,2,2,2,2,2,1,0,0,0,8,1,1,3
766,1053,1,1,1,0,0,1,0,4,0,0,1,0,0,0,0
767,1323,1,2,1,0,0,1,0,3,0,0,1,0,0,0,0
768,2340,2,1,2,2,1,2,1,5,0,1,2,11,2,1,3
769,2055,1,1,1,1,1,2,0,9,2,2,2,3,0,0,1
770,212,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
771,1802,1,2,2,1,0,1,2,8,2,0,2,4,0,0,1
772,2199,1,1,2,1,1,1,0,11,4,2,4,3,0,0,1
773,1375,2,2,2,2,0,2,0,0,0,0,0,7,1,0,1
774,1395,1,1,1,1,0,1,0,11,2,0,1,0,0,0,0
775,1441,2,2,2,0,2,2,2,0,0,0,0,7,0,1,1
776,2221,1,2,1,1,1,2,0,11,4,2,1,4,0,0,2
777,1538,1,1,2,1,1,1,2,9,2,1,2,2,0,0,0
778,2289,2,1,1,1,1,1,1,9,1,1,2,9,2,1,2
779,1572,2,1,2,2,2,2,0,0,0,0,0,11,2,1,2
780,2079,1,2,1,1,2,2,0,8,2,0,1,3,0,1,2
781,1904,1,1,1,1,1,1,0,10,3,1,2,2,0,0,0
782,1740,1,1,1,1,1,2,0,10,2,1,1,1,0,0,2
783,1686,1,2,2,1,1,2,1,7,1,1,0,6,0,0,3
784,2039,2,2,2,2,2,2,2,3,0,0,1,8,1,1,2
785,1361,1,1,1,0,0,1,0,4,0,0,2,0,0,0,0
786,2584,2,2,2,2,2,2,2,1,0,0,1,10,3,1,4
787,1927,1,2,1,1,0,2,1,11,2,0,1,3,0,0,2
788,1853,1,2,2,1,1,2,2,10,2,1,3,1,0,0,1
789,2447,2,2,1,2,2,1,0,8,0,0,3,9,3,2,1
790,1047,2,2,2,2,0,2,0,0,0,0,0,5,1,0,1
791,2274,1,1,1,1,1,1,0,10,3,1,3,3,0,0,0
792,1499,1,2,1,1,0,1,0,10,2,0,2,3,0,0,0
793,1760,2,2,2,2,0,2,1,2,0,0,1,8,1,0,1
794,2016,1,2,1,1,1,1,0,9,1,1,2,2,0,0,1
795,2400,2,2,2,2,2,1,0,6,0,0,2,9,1,1,1
796,2156,1,2,1,1,2,2,0,9,1,1,2,7,0,1,2
797,1811,2,2,2,2,0,2,1,3,0,0,0,10,2,0,3
798,1370,1,1,1,0,0,2,0,5,0,0,1,0,0,0,1
799,2244,2,2,2,2,0,2,1,2,0,0,1,11,3,0,3
800,2303,2,1,1,1,2,1,1,8,2,0,4,7,1,1,0
801,1851,1,1,1,1,2,1,0,11,3,1,1,1,0,1,1
802,1688,2,2,1,0,2,1,0,3,0,0,1,7,0,1,2
803,1905,1,1,1,1,0,1,0,8,2,0,2,1,0,0,0
804,1745,1,2,1,1,1,2,1,11,3,2,2,1,0,0,1
805,1638,2,2,2,2,0,2,2,0,0,0,0,11,3,0,1
806,1778,2,2,2,2,2,1,2,2,0,0,1,10,2,1,2
807,2093,2,1,1,2,2,1,1,3,0,1,3,9,2,1,2
808,1627,2,1,2,2,2,2,0,0,0,0,0,6,1,1,1
809,1931,1,1,1,1,1,1,1,11,4,2,2,1,0,0,1
810,202,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811,1772,1,2,1,1,1,1,0,11,3,1,3,1,0,0,0
812,2279,2,2,2,2,2,2,2,5,1,0,2,9,3,2,2
813,2390,2,2,2,2,2,2,0,1,0,0,1,11,5,1,3
814,1612,1,2,1,1,0,2,1,9,1,0,2,3,0,0,1
815,1014,1,1,1,1,0,0,0,9,2,0,0,0,0,0,0
816,2208,2,2,1,2,2,2,2,1,0,0,1,10,3,2,2
817,197,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
818,2420,1,2,2,2,1,2,1,9,1,2,2,7,1,1,2
819,1780,1,2,2,1,2,1,0,11,3,0,3,3,0,1,0
820,1484,2,2,2,2,2,1,2,2,0,0,1,11,3,1,1
821,2256,1,2,2,1,1,1,2,7,1,1,3,4,0,0,0
822,2545,1,1,1,1,1,1,1,11,3,2,5,7,1,0,0
823,1288,1,1,1,0,0,1,0,2,0,0,1,2,0,0,0
824,1477,2,1,2,2,0,2,0,1,0,0,1,9,2,0,2
825,1258,2,2,2,2,0,2,2,0,0,0,0,10,2,0,1
826,2540,2,2,1,1,2,1,0,6,1,0,1,9,1,1,3
827,1318,2,1,1,2,0,1,2,3,0,0,2,7,1,0,0
828,1740,1,2,1,1,1,1,1,10,3,2,3,2,0,0,0
829,1715,2,2,2,2,2,2,0,0,0,0,0,11,4,1,3
830,1555,1,1,1,1,2,1,1,7,1,0,1,2,0,1,1
831,2907,1,1,2,1,1,2,1,10,6,2,1,6,0,1,4
832,1670,2,2,2,2,0,2,0,2,0,0,0,10,2,0,2
833,1534,2,2,2,2,0,2,0,0,0,0,0,5,1,0,2
834,2491,1,1,2,2,1,2,1,10,3,2,1,7,1,0,3
835,2047,1,1,2,1,2,1,2,10,3,0,3,4,0,1,0
836,2024,2,1,1,2,2,2,1,3,0,0,1,7,1,1,3
837,1770,1,2,1,1,1,2,1,7,1,1,2,1,0,0,1
838,1640,2,2,2,2,0,2,2,0,0,0,0,10,2,0,2
839,2592,2,1,1,1,2,1,0,5,1,0,1,10,3,2,2
840,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,1396,1,1,1,1,0,1,1,9,2,0,2,2,0,0,0
842,2319,2,1,1,2,1,1,2,5,1,1,3,9,2,1,1
843,1768,1,1,1,1,0,2,1,9,1,0,0,2,0,0,3
844,1633,1,1,1,1,1,1,1,10,2,1,3,2,0,0,0
845,1670,1,1,2,1,0,2,1,10,2,0,1,3,0,0,2
846,2003,2,2,2,2,2,2,0,2,0,0,0,7,1,1,4
847,1979,2,2,2,2,2,2,0,1,0,0,0,11,4,1,2
848,1723,1,1,1,1,0,2,1,9,1,0,1,1,0,0,1
849,2414,1,1,2,1,1,1,0,11,4,1,5,5,0,0,0
850,2283,2,2,1,2,0,2,1,5,0,0,2,9,2,0,2
851,2601,1,2,2,1,1,2,2,11,3,1,4,6,0,0,1
852,2841,2,1,1,1,2,1,0,8,3,0,4,9,1,1,1
853,2821,1,1,2,1,1,1,0,9,2,1,3,7,1,0,1
854,1620,1,1,1,1,1,2,1,11,2,1,1,1,0,0,1
855,1549,1,1,1,1,0,1,0,10,2,0,2,0,0,0,0
856,1593,2,2,2,2,2,2,0,1,0,0,1,9,2,1,2
857,1361,2,2,1,0,0,1,0,2,0,0,1,7,0,0,1
858,1621,2,1,2,2,1,1,1,6,0,1,1,7,1,0,0
