game_id,game_duration,winner,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,rift_herald_kill,t1_tower_kills,t1_inhibitor_kills,t1_baron_kills,t1_dragon_kills,t2_tower_kills,t2_inhibitor_kills,t2_baron_kills,t2_dragon_kills
14684,1605,1,2,1,1,1,1,2,11,3,1,3,2,0,0,0
14685,1274,1,1,1,0,0,1,0,5,0,0,1,0,0,0,0
14686,2556,1,1,1,1,0,1,0,9,1,0,3,5,0,0,2
14687,2178,1,1,2,1,2,1,0,6,1,0,3,3,0,1,1
14688,2738,2,2,2,1,1,2,0,9,3,1,2,9,2,1,3
14689,2547,1,1,1,2,2,1,2,7,1,1,5,9,3,2,0
14690,2267,1,2,1,2,1,2,1,9,3,1,2,7,1,0,2
14691,1356,2,1,2,2,0,1,2,0,0,0,1,6,1,0,0
14692,1674,2,2,2,2,2,2,0,1,0,0,0,8,2,1,2
14693,2257,1,2,1,1,1,2,0,10,2,1,2,3,0,0,1
14694,1785,1,1,1,1,2,2,1,10,2,0,1,0,0,1,2
14695,1274,2,1,2,0,0,2,0,0,0,0,0,7,0,0,1
14696,1731,2,2,2,2,2,2,2,0,0,0,0,10,3,1,3
14697,1632,2,2,1,2,0,1,2,1,0,0,1,11,2,0,2
14698,2278,1,2,1,1,1,1,1,11,4,1,3,1,0,0,1
14699,1890,1,2,2,1,1,2,1,8,2,1,1,5,0,0,1
14700,1895,2,1,2,2,2,1,0,6,0,0,2,7,1,1,1
14701,2201,1,1,1,1,1,1,0,10,3,1,2,3,0,0,1
14702,2230,2,1,2,2,2,2,1,4,0,0,0,9,2,1,3
14703,1625,1,2,1,1,0,2,0,11,2,0,0,1,0,0,2
14704,2433,1,1,1,1,0,1,0,8,1,0,2,4,0,0,0
14705,2454,2,1,1,2,0,1,2,7,1,0,1,7,2,0,2
14706,1746,1,1,1,1,1,1,2,11,4,1,3,1,0,0,0
14707,2294,1,1,1,2,1,2,1,9,2,2,0,6,3,1,4
14708,1903,1,1,2,1,1,2,0,11,3,1,1,3,0,0,2
14709,2860,1,1,2,2,2,2,0,11,5,1,1,9,3,1,3
14710,3572,1,2,2,1,1,1,0,11,3,2,4,5,0,0,2
14711,1955,1,2,1,1,1,1,1,11,3,1,2,5,0,0,0
14712,2559,2,2,2,2,2,2,0,1,0,0,0,11,4,2,4
14713,1700,2,2,2,2,2,1,0,1,0,0,1,11,2,1,1
14714,1746,1,1,1,1,1,1,0,10,2,1,3,1,0,0,0
14715,1536,1,2,1,1,1,1,1,11,3,1,2,2,0,0,0
14716,937,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1
14717,1368,1,2,1,1,1,1,1,9,2,1,2,1,0,0,0
14718,2702,2,1,1,1,1,2,1,8,2,1,3,8,1,1,2
14719,1804,1,2,1,1,2,1,1,7,1,1,1,5,0,1,1
14720,919,2,2,2,2,0,0,2,0,0,0,0,5,1,0,0
14721,1391,1,1,1,1,1,1,1,11,3,1,2,0,0,0,0
14722,2106,1,2,2,1,0,2,2,11,3,0,1,6,0,0,2
