id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,twitter2,nome_civil
160665,câmara,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,augustocmelo ‏,NA,AUGUSTO RODRIGUES COUTINHO DE MELO
204509,câmara,ÁUREA CAROLINA,PSOL,MG,aureacarolinax,NA,ÁUREA CAROLINA DE FREITAS E SILVA
160512,câmara,AUREO RIBEIRO,SOLIDARIEDADE,RJ,DeputadoAureo,AureoRibeiroRJ,AUREO LIDIO MOREIRA RIBEIRO
69871,câmara,BACELAR,PODE,BA,DeputadoBacelar,NA,JOAO CARLOS BACELAR BATISTA
178975,câmara,BALEIA ROSSI,MDB,SP,baleia_rossi,NA,LUIZ FELIPE BALEIA TENUTO ROSSI
73701,câmara,BENEDITA DA SILVA,PT,RJ,dasilvabenedita ‏,depbenedita,BENEDITA SOUZA DA SILVA SAMPAIO
73701,câmara,BENEDITA DA SILVA,PT,RJ,dasilvabenedita ‏,depbenedita,BENEDITA SOUZA DA SILVA SAMPAIO
109429,câmara,BENES LEOCÁDIO,PRB,RN,NA,NA,LUIZ BENES LEOCADIO DE ARAUJO
141335,câmara,BETO FARO,PT,PA,BetoFaroPT ‏,NA,JOSÉ ROBERTO OLIVEIRA FARO
141335,câmara,BETO FARO,PT,PA,BetoFaroPT ‏,NA,JOSÉ ROBERTO OLIVEIRA FARO
204358,câmara,BETO PEREIRA,PSDB,MS,betopereirams,NA,HUMBERTO REZENDE PEREIRA
178948,câmara,BETO ROSADO,PP,RN,betorosado,NA,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO
207176,câmara,BIA CAVASSA,PSDB,MS,BiaCavassa,NA,BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA
204374,câmara,BIA KICIS,PSL,DF,Biakicis,NA,BEATRIZ KICIS TORRENTS DE SORDI
204388,câmara,BIBO NUNES,PSL,RS,bibonunes1,bibonunes,ALCIBIO MESQUITA BIBO NUNES
141513,câmara,BILAC PINTO,DEM,MG,bilac_pinto,NA,OLAVO BILAC PINTO NETO
204561,câmara,BIRA DO PINDARÉ,PSB,MA,BiradoPindare,NA,UBIRAJARA DO PINDARÉ ALMEIDA SOUSA
204397,câmara,BOCA ABERTA,PROS,PR,BocaAbertaOf,NA,EMERSON MIGUEL PETRIV
160538,câmara,BOHN GASS,PT,RS,BOHNGASS,NA,ELVINO JOSÉ BOHN GASS
74052,câmara,BOSCO COSTA,PR,SE,BoscoCosta1234,NA,JOÃO BOSCO DA COSTA
204551,câmara,BOSCO SARAIVA,SOLIDARIEDADE,AM,boscosaraiva,NA,JOÃO BOSCO GOMES SARAIVA
160589,câmara,BRUNA FURLAN,PSDB,SP,BrunaFurlan_,DepBrunaFurlan,BRUNA DIAS FURLAN
204520,câmara,CABO JUNIO AMARAL,PSL,MG,cabojunioamaral,NA,GERALDO JUNIO DO AMARAL
93083,câmara,CACÁ LEÃO,PP,BA,CacaLeao‏,CacaLeao,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO
178853,câmara,CAETANO,PT,BA,DepCaetano‏,DepCaetano,LUIZ CARLOS CAETANO
204352,câmara,CAMILO CAPIBERIBE,PSB,AP,CamiloPSB,NA,CARLOS CAMILO GÓES CAPIBERIBE
204572,câmara,CAPITÃO ALBERTO NETO,PRB,AM,capalbertoneto,cavalcantecta_n,ALBERTO BARROS CAVALCANTE NETO
